# Y-M-D   T H:M:S     ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL
2019-10-30T06:08:15    85746  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  315.2  55.9  237.6 0
2019-10-30T06:08:36    85747  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.9    1.083633  40.109953  314.8  55.5  237.6 0
2019-10-31T06:39:57    85769  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  310.5  49.6  237.6 0
2019-10-31T06:40:19    85770  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.5    1.083633  40.109953  310.3  49.2  237.6 0
2019-10-31T06:50:37    85771  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  309.4  47.4  237.6 0
2019-10-31T06:50:57    85772  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      80.0    1.083633  40.109953  309.4  47.3  237.6 0
2019-10-31T06:56:34    85773  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  308.9  46.3  237.6 0
2019-10-31T06:56:54    85774  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.0    1.083633  40.109953  308.9  46.2  237.6 0
2019-10-31T07:01:32    85775  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                  115.2712  -296       5.0   10.648750  41.513700  314.4  51.9  0 0
2019-10-31T07:01:57    85776  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                  115.2712  -296    1297.5   10.648750  41.513700  314.2  51.6  0 0
2019-10-31T07:31:05    85777  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                  115.2712  -296       5.0   10.648750  41.513700  311.2  46.6  0 0
2019-10-31T07:31:31    85778  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                  115.2712  -296    1297.5   10.648750  41.513700  311.1  46.5  0 0
2019-10-31T07:56:49    85779  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.3  34.9  237.6 0
2019-10-31T07:57:10    85780  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.9    1.083633  40.109953  306.3  34.9  237.6 0
2019-11-01T05:27:25    85811  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  322.3  61.2  237.6 0
2019-11-01T05:27:48    85812  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.7    1.083633  40.109953  321.5  60.7  237.6 0
2019-11-01T05:32:02    85813  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  320.5  60.1  237.6 0
2019-11-01T05:32:23    85814  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.1    1.083633  40.109953  320.4  60.0  237.6 0
2019-11-01T05:36:10    85815  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  319.5  59.5  237.6 0
2019-11-01T05:36:32    85816  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      80.3    1.083633  40.109953  319.4  59.4  237.6 0
2019-11-01T05:40:53    85817  SEQ        Calibration  Cal         Region_H                  2018-S1-MU-46                  115.2712  -296       5.0   11.026375  41.604564  331.7  63.2  0 0
2019-11-01T05:41:18    85818  SEQ        Science      Map(Ra/C)   Region_H                  2018-S1-MU-46                  115.2712  -296    1297.5   11.026375  41.604564  331.3  63.1  0 0
2019-11-01T06:06:25    85819  SEQ        Calibration  Cal         Region_D-E                2018-S1-MU-46                  115.2712  -296       5.0   10.307333  41.067611  322.6  59.9  0 0
2019-11-01T06:06:51    85820  SEQ        Science      Map(Ra/C)   Region_D-E                2018-S1-MU-46                  115.2712  -296    2847.5   10.307333  41.067611  322.5  59.8  0 0
2019-11-01T06:59:12    85821  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  308.5  45.1  237.6 0
2019-11-01T06:59:33    85822  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.3    1.083633  40.109953  308.4  45.0  237.6 0
2019-11-01T07:09:20    85823  SEQ        Calibration  Cal         Region_J-K                2018-S1-MU-46                  115.2712  -296       5.0   10.648750  41.513700  313.1  50.0  0 0
2019-11-01T07:09:48    85824  SEQ        Science      Map(Ra/C)   Region_J-K                2018-S1-MU-46                  115.2712  -296    1297.5   10.648750  41.513700  312.8  49.6  0 0
2019-11-01T07:35:20    85825  SEQ        Calibration  Cal         Region_H                  2018-S1-MU-46                  115.2712  -296       5.0   11.026375  41.604564  310.8  45.3  0 0
2019-11-01T07:35:47    85826  SEQ        Science      Map(Ra/C)   Region_H                  2018-S1-MU-46                  115.2712  -296    1297.5   11.026375  41.604564  310.7  45.3  0 0
2019-11-01T08:03:02    85827  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  306.2  33.0  237.6 0
2019-11-01T08:03:23    85828  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.9    1.083633  40.109953  306.2  32.9  237.6 0
2019-11-05T04:23:09    85873  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  338.8  66.9  237.6 0
2019-11-05T04:23:33    85874  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      79.0    1.083633  40.109953  337.8  66.6  237.6 0
2019-11-05T04:28:39    85875  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  335.7  66.2  237.6 0
2019-11-05T04:29:02    85876  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.9    1.083633  40.109953  335.5  66.1  237.6 0
2019-11-05T04:33:16    85877  SEQ        Calibration  Cal         Region_D-E                2018-S1-MU-46                  115.2712  -296       5.1   10.307333  41.067611  351.4  67.5  0 0
2019-11-05T04:33:42    85878  SEQ        Science      Map(Ra/C)   Region_D-E                2018-S1-MU-46                  115.2712  -296    2847.6   10.307333  41.067611  350.9  67.5  0 0
2019-11-05T05:25:35    85879  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  318.4  58.7  237.6 0
2019-11-05T05:25:56    85880  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      78.8    1.083633  40.109953  318.3  58.6  237.6 0
2019-11-05T05:30:10    85881  SEQ        Calibration  Cal         Region_H                  2018-S1-MU-46                  115.2712  -296       5.0   11.026375  41.604564  330.1  62.7  0 0
2019-11-05T05:30:36    85882  SEQ        Science      Map(Ra/C)   Region_H                  2018-S1-MU-46                  115.2712  -296    1297.5   11.026375  41.604564  329.7  62.5  0 0
2019-11-07T04:06:31    86087  SEQ        Calibration  Cal         SV-And                    2018-S1-MU-46                   86.2434   -90       5.0    1.083633  40.109953  342.4  67.5  237.6 0
2019-11-07T04:06:52    86088  SEQ        Pointing     Map(Az/D)   SV-And                    2018-S1-MU-46                   86.2434   -90      76.8    1.083633  40.109953  341.7  67.4  237.6 0
